ts,Open,High,Low,Close,Volume
2026-06-01 05:19:00+00:00,7616.0,7616.0,7615.75,7615.75,72
2026-06-01 05:20:00+00:00,7615.75,7616.0,7615.75,7616.0,49
2026-06-01 05:21:00+00:00,7616.25,7616.25,7616.0,7616.25,21
2026-06-01 05:22:00+00:00,7616.25,7617.0,7616.25,7616.5,88
2026-06-01 05:23:00+00:00,7616.75,7616.75,7616.25,7616.25,72
2026-06-01 05:24:00+00:00,7616.25,7616.25,7616.0,7616.0,59
2026-06-01 05:25:00+00:00,7615.75,7616.25,7615.25,7615.5,144
2026-06-01 05:26:00+00:00,7615.75,7616.0,7615.5,7616.0,70
2026-06-01 05:27:00+00:00,7616.0,7616.0,7615.25,7615.75,136
2026-06-01 05:28:00+00:00,7615.5,7615.75,7615.0,7615.0,186
2026-06-01 05:29:00+00:00,7615.0,7615.0,7614.0,7614.25,190
2026-06-01 05:30:00+00:00,7614.5,7615.25,7614.5,7615.0,173
2026-06-01 05:31:00+00:00,7615.25,7616.0,7615.0,7615.25,119
2026-06-01 05:32:00+00:00,7615.0,7616.0,7615.0,7616.0,78
2026-06-01 05:33:00+00:00,7616.0,7616.25,7615.5,7615.75,120
2026-06-01 05:34:00+00:00,7615.75,7615.75,7615.25,7615.25,98
2026-06-01 05:35:00+00:00,7615.5,7616.75,7615.5,7616.5,117
2026-06-01 05:36:00+00:00,7616.5,7617.0,7616.25,7616.5,102
2026-06-01 05:37:00+00:00,7616.25,7616.25,7615.75,7616.0,107
2026-06-01 05:38:00+00:00,7616.0,7616.0,7615.75,7615.75,99
2026-06-01 05:39:00+00:00,7615.75,7616.5,7615.75,7616.25,87
2026-06-01 05:40:00+00:00,7616.5,7617.0,7616.25,7616.5,139
2026-06-01 05:41:00+00:00,7616.75,7617.0,7616.5,7616.75,79
2026-06-01 05:42:00+00:00,7616.75,7617.25,7616.75,7617.25,90
2026-06-01 05:43:00+00:00,7617.0,7617.5,7617.0,7617.0,132
2026-06-01 05:44:00+00:00,7617.0,7617.25,7617.0,7617.25,97
2026-06-01 05:45:00+00:00,7617.25,7617.5,7616.75,7616.75,63
