ts,Open,High,Low,Close,Volume
2026-05-21 00:05:00+00:00,29201.25,29205.5,29193.0,29200.75,178
2026-05-21 00:06:00+00:00,29202.5,29202.75,29173.5,29183.5,204
2026-05-21 00:07:00+00:00,29183.75,29190.75,29177.5,29177.5,89
2026-05-21 00:08:00+00:00,29177.0,29192.5,29171.0,29184.25,107
2026-05-21 00:09:00+00:00,29184.25,29203.0,29183.25,29198.75,89
2026-05-21 00:10:00+00:00,29202.25,29210.5,29194.0,29200.5,139
2026-05-21 00:11:00+00:00,29199.25,29205.0,29191.0,29200.5,200
2026-05-21 00:12:00+00:00,29200.0,29213.25,29199.75,29204.75,98
2026-05-21 00:13:00+00:00,29206.0,29211.5,29200.5,29208.25,78
2026-05-21 00:14:00+00:00,29206.75,29209.25,29202.0,29208.5,41
2026-05-21 00:15:00+00:00,29209.0,29220.0,29205.5,29213.75,244
2026-05-21 00:16:00+00:00,29213.0,29214.25,29198.5,29210.0,118
2026-05-21 00:17:00+00:00,29209.5,29214.75,29206.5,29212.0,37
2026-05-21 00:18:00+00:00,29212.0,29212.75,29177.5,29190.0,261
2026-05-21 00:19:00+00:00,29189.5,29195.0,29186.5,29188.75,72
2026-05-21 00:20:00+00:00,29190.0,29194.0,29183.75,29184.0,109
2026-05-21 00:21:00+00:00,29184.25,29190.0,29179.25,29179.25,80
2026-05-21 00:22:00+00:00,29182.5,29187.5,29179.0,29180.0,103
2026-05-21 00:23:00+00:00,29181.75,29183.25,29175.75,29182.75,89
2026-05-21 00:24:00+00:00,29179.5,29188.0,29176.75,29187.0,81
2026-05-21 00:25:00+00:00,29186.5,29193.0,29179.75,29182.0,145
2026-05-21 00:26:00+00:00,29180.75,29183.25,29174.5,29175.5,93
2026-05-21 00:27:00+00:00,29175.5,29185.5,29172.0,29185.0,80
2026-05-21 00:28:00+00:00,29183.0,29185.0,29177.75,29184.5,54
2026-05-21 00:29:00+00:00,29182.75,29194.75,29182.75,29194.75,123
2026-05-21 00:30:00+00:00,29194.75,29195.25,29182.25,29186.0,114
2026-05-21 00:31:00+00:00,29184.75,29187.25,29182.0,29185.5,71
2026-05-21 00:32:00+00:00,29184.75,29193.0,29184.5,29188.25,122
2026-05-21 00:33:00+00:00,29187.5,29192.5,29187.25,29192.25,41
2026-05-21 00:34:00+00:00,29192.75,29208.0,29192.75,29206.25,176
2026-05-21 00:35:00+00:00,29205.5,29209.75,29204.5,29207.5,79
2026-05-21 00:36:00+00:00,29207.25,29210.0,29202.0,29207.5,98
2026-05-21 00:37:00+00:00,29206.25,29210.25,29205.5,29207.0,30
2026-05-21 00:38:00+00:00,29206.75,29212.0,29203.25,29212.0,60
2026-05-21 00:39:00+00:00,29211.0,29217.25,29207.0,29207.0,83
2026-05-21 00:40:00+00:00,29206.5,29218.5,29205.25,29218.5,102
2026-05-21 00:41:00+00:00,29219.0,29219.25,29204.5,29208.0,112
2026-05-21 00:42:00+00:00,29207.25,29214.75,29207.25,29213.0,92
2026-05-21 00:43:00+00:00,29211.75,29214.75,29210.75,29213.5,73
2026-05-21 00:44:00+00:00,29212.5,29219.0,29212.5,29218.25,56
2026-05-21 00:45:00+00:00,29218.25,29219.0,29212.25,29217.0,118
2026-05-21 00:46:00+00:00,29215.75,29216.25,29211.0,29214.0,76
2026-05-21 00:47:00+00:00,29213.75,29215.5,29205.25,29208.25,71
2026-05-21 00:48:00+00:00,29209.0,29209.5,29205.5,29208.5,45
2026-05-21 00:49:00+00:00,29209.5,29222.0,29209.5,29220.75,123
2026-05-21 00:50:00+00:00,29220.5,29225.25,29219.0,29222.25,146
2026-05-21 00:51:00+00:00,29222.75,29223.0,29218.0,29220.0,68
2026-05-21 00:52:00+00:00,29221.5,29224.0,29219.0,29223.25,84
2026-05-21 00:53:00+00:00,29224.0,29232.5,29224.0,29230.25,197
2026-05-21 00:54:00+00:00,29229.25,29231.5,29227.5,29230.25,88
2026-05-21 00:55:00+00:00,29230.5,29230.5,29225.75,29226.5,82
2026-05-21 00:56:00+00:00,29226.75,29228.0,29221.5,29228.0,82
2026-05-21 00:57:00+00:00,29228.0,29229.0,29222.0,29224.0,26
2026-05-21 00:58:00+00:00,29223.75,29223.75,29215.75,29218.75,113
2026-05-21 00:59:00+00:00,29217.0,29226.25,29215.5,29222.0,153
2026-05-21 01:00:00+00:00,29221.75,29239.25,29221.75,29237.75,272
2026-05-21 01:01:00+00:00,29237.5,29239.25,29225.5,29233.75,296
2026-05-21 01:02:00+00:00,29233.75,29240.75,29231.5,29239.25,136
2026-05-21 01:03:00+00:00,29239.25,29243.0,29237.25,29238.0,124
